,title,company,description,company_overview,location,role,hours,industry,applications,posted,closing,salary_type,salary
0,Client Services Director,ESSENCE GLOBAL MEDIA SINGAPORE PTE. LTD.,"Roles & ResponsibilitiesAbout Essence Essence, part of GroupM, is a global data and measurement-driven agency whose mission is to make advertising more valuable to the world. Clients include Google, Flipkart, Nando's and the Financial Times. The agency is more than 1,600 people strong, manages over $3.6B in annualized media spend and deploys campaigns in 71 markets via its global offices throughout North America, EMEA and APAC.  Visit essenceglobal.com for more information and follow us on Twitter at @essenceglobal.   About the role The Client Services team is  accountable for the direction, organization and delivery of digital marketing activities for our clients. We are the owners of the day to day relationship ensuring Essence delivers flawlessly against client objectives on each and every campaign.RequirementsSome of the things we’d like you to do:  Own and maintain relationship with primary client point of contact and build relationships with senior and VP clients Ensure client expectations are  being set and met for every campaign and are clearly defined Manage client satisfaction throughout the campaign lifecycle and beyond, ensuring issues and challenges are actively identified and mitigated Manage commercials of account(s), including staffing / scope and financials Oversee project management support during the campaign lifecycle to ensure on time completion of deliverables, coordinate across practices, identify potential risks and issues Build strong ties with leads across disciplines to produce successful campaigns, maintaining high levels of communication throughout campaign lifecycle Interrogate work before client delivery to ensure it meets the brief and expectations Global coordination by facilitating knowledge and context sharing across Essence regions Develop strategic relationships with key agency partners and be a point of escalation Assist in deployment of Client Service practice trainings while ensuring best practices Analyze information skillfully provided by team members to problem solve creatively, troubleshoot, and develop alternative solutions Line manage through coaching  1-3 direct reports to support career growth and development Provide timely and actionable feedback to the team to aid in their development and progress    A bit about yourself:  Strong written and verbal communication skills across all platforms Expert organizational skills, great attention to detail and ability Q/A work Strong digital marketing background with a focus on performance media Working knowledge of the digital media ecosystem with the ability to assess for the performance of assigned media dollars against their intended outcome, across both brand and DR objectives. Ability to implement and meet deadlines and project manage multiple campaigns Excellent client relationship and management skills Proven problem solving skills and ability to think outside of the box for creative solutions Ability to lead and motivate team members in a positive light Detail oriented and responsive, deadline-driven with strong quantitative reasoning skills Strong business acumen and strategic thinking capability    What you can expect from Essence Essence’s mission is to make advertising more valuable to the world. We do this by employing the world’s very best talent to solve some of the toughest challenges of today’s digital marketing landscape. It’s important that we hire people whose values reflect those of our own: genuine, results-focused, daring and insightful. As an Essence employee, we promise you a workplace that invests in your career, cares for you and is fun and engaging. We believe these factors create a workplace where you can be yourself and do amazing work. We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, or marital status.",ESSENCE GLOBAL SINGAPORE PRIVATE LIMITED,"THE HOUSE OF EDEN, 4 ROBINSON ROAD 048543",Senior Management,"Permanent, Full Time",Advertising / Media ,21 applications,Posted 14 Jan 2019,Closing on 13 Feb 2019,Annually,"$180,000-$210,000"
1,Accounting Executive,SINGAPORE BORA PETROLEUM PTE. LTD.,"Roles & ResponsibilitiesMaintain full sets of accounting records.   Provide financial reporting support, perform journal entries, data entry   Prepare audit schedules and liaise with auditors to finalise year end audit   GST reporting   Processing daily transactions, liasing with overseas entity on financial accounts.   Preparing accounting reconciliations.   Assist in any ad hoc duties as assigned by Accountant.RequirementsYou should possess at least a Diploma or Degree in Accounting or in a related discipline and have at least 1 year of experience in accounting.  You will need to be meticulous, independent, a team player and have good communication and written skills.  ","SINGAPORE BORA PETROLEUM PTE. LTD.
Incorporated in August 2012, an Offshore financing center including but not limited to trade finance and other banking facilities

·  Offshore trading hub focusing on trading with third party and sourcing refined products import to mainland China

·  Enhance the flexibility to onshore refinery system via hedging, oil blending and shipping
 ",1 RAFFLES QUAY 048583,Executive,Full Time,Accounting / Auditing / Taxation,62 applications,Posted 14 Jan 2019,Closing on 13 Feb 2019,Monthly,"$2,500-$3,500"
2,HR Executive,MSC CONSULTING (S) PTE. LTD.,"Roles & ResponsibilitiesThe Human Resource Associate(Talent Management, and Learning and Organisation Development) assists in the procurement and documentation of learning needs in the organisation. He/She maintains learning systems and provides administrative support in conducting learning programmes. He/She also manages resources and logistics for delivering learning programmes and collection of data from surveys to review learning programmes.  He/She provides support to conduct assessments in order to identify potential talent in the organisation. He/She documents assessment records and succession plans for critical roles. He/She also responds to employee queries that are related to assessments and learning programmes. He/She maintains exit and retirement records.  He/She enjoys working in a team environment and interacts proactively with various stakeholders. He/She is eager to explore and analyse problems, and is able to communicate information in a clear and concise manner.Requirements~ Apply for grants for learning programmes ~ Assist in the administration of assessments ~ Collate assessment data ~ Collate data from line managers about current competencies of their employees ~ Collate learning evaluation surveys ~ Communicate assessment procedure to candidates ~ Coordinate resources and logistics for learning courses ~ Document critical roles identified in the organisation ~ Document learning needs ~ Document learning programmes ~ Document succession plans and potential successors for critical roles as designed by HR Manager ~ Ensure employee exit formalities are complete before employee leaves ~ Evaluate learning expenses against allocated budgets ~ Gather information about assessment tools to provide suggestions ~ Generate learning and post-learning reports ~ Liaise with nominated internal trainers on learning requirements ~ Maintain e-learning systems ~ Maintain employee exits and retirement records ~ Maintain learning courses schedules ~ Maintain learning resources inventory ~ Maintain talent pool lists by levels to analyse talent gaps ~ Prepare reports on succession planning activities ~ Provide administrative and coordination support for high potential programmes ~ Register employees for learning courses ~ Research for external learning vendors for learning programmes ~ Respond to employee queries relating to exit and retirement processes ~ Respond to employee queries relating to talent assessment ~ Send learning course instructions and reminders to employees ~ Track employee participation rate ~ Utilise profiling tools to identify workforce learning needs",MSC CONSULTING (S) PTE. LTD.,"A'POSH BIZHUB, 1 YISHUN INDUSTRIAL STREET 1 768160",Executive,Full Time,Accounting / Auditing / Taxation,15 applications,Posted 14 Jan 2019,Closing on 13 Feb 2019,Monthly,"$2,000-$3,000"
3,Associate Director /  Senior Manager,NATIONAL UNIVERSITY OF SINGAPORE,"Roles & Responsibilities Lead improvement projects in energy conservation of buildings and recertification of Green Mark buildings. Work closely with OFM’s Technical team and Energy Task Force. Plan, design and implement campus- wide M&E systems including infrastructure for data centre/wire centres and building management system. Review new mechanical & electrical systems for new projects. Lead procurement of M&E systems. Assist in any other duties assigned by the Senior Associate Director, OFM and Energy Task Force chairpersons. Requirements A good Bachelor Degree in Electrical Engineering, Mechanical Engineering or related field with emphasis on Energy Management and Optimization. At least eight (8) years of working experience in Energy Management & Optimization and/or design and supervision of Electrical Engineering works, and/or relevant fields related to Energy Management. Other Professional qualifications in Energy Management such as Singapore Certified Energy Manager will be an added advantage. ","The National University of Singapore aspires to be a vital community of academics, researchers, staff, students and alumni working together in a spirit of innovation and enterprise for a better world.
  Our singular focus on talent will be the cornerstone of a truly great university that is dedicated to quality education, influential research and visionary enterprise, in service of country and society.",21 LOWER KENT RIDGE ROAD 119077,"Middle Management, Manager","Permanent, Full Time",Engineering,11 applications,Posted 14 Jan 2019,Closing on 13 Feb 2019,Monthly,"$5,000-$8,000"
4,Sales & Marketing Executive Chemical,LAM SENG HANG COMPANY PRIVATE LIMITED,"Roles & ResponsibilitiesPOSITION SUMMARY The incumbent is tasked to accomplish business development activities by researching & developing marketing opportunities & plans and implementing sales plans. Increase productivity and optimise company’s market share.   JOB RESPONSIBILITIES   Collate and issue purchase orders/sales contracts for materials, goods and supplies and arranging shipments and notifying customers    Responsible for sales activities and provide after-sales services to customers Track and Review deliveries status against any orders and ensure that invoices are sent to accounts for payment Resolves order and inventory problems by investigating data and history Identifying alternate means for filling orders; notifying managers and customers Develop an active process for measuring supply inventory and determining purchasing needs based on demands and sales forecast   Deal with non supplied, under orders, over orders and damaged goods   Maintains customer database by inputting customer profile and updates  Prepare and distribute monthly reports by collecting, analyzing, and summarizing informatio  Display efficiency in gathering market and customer info to enable negotiations regarding variations in prices, delivery       and customer specifications  RequirementsJOB REQUIREMENTS Min Diploma in Chemistry 2 years sales experience in Chemical Industry Proficient in English and Chinese both written and spoken Proficient in Microsoft Office Applications Must be willing to make cold calls Fresh graduate interested in Chemical Sales are welcome to apply   OTHER INFORMATION 5 days work week AWS Profit Sharing","LAM SENG HANG COMPANY PRIVATE LIMITED
The principal activities of the company consist of importers and exporters of Chemicals, Battery & Tyres, Rubber Prdts and Hardware,Spices and other general commodities",33 CARPENTER STREET 059912,Executive,Permanent,Sales / Retail ,5 applications,Posted 14 Jan 2019,Closing on 13 Feb 2019,Monthly,"$2,500-$4,000"
5,Technical Architect Delivery Manager,LIBERTY INSURANCE PTE LTD,"Roles & ResponsibilitiesJob Description:  Assess, design, implement and/or support world-class information technology architectures for Liberty Insurance, spanning simple IT projects to large-scale, enterprise-level change programs. Conduct architecture assessments and define solutions for complex problems in which analysis requires an in-depth evaluation of variable factors. Design, build, deliver and run the engagement's, platform's and/or product's required architecture (ie development, operations, execution, data, application, etc.). Provide the work's technical conscience, defining and driving the right solution to meet the technical performance, scalability, flexibility, operations and capability needs. Interact with senior management involving matters that may require acceptance of an alternate approach. Manage large-medium sized teams and/or efforts. Adhere to strategic direction set by senior management when establishing near-term goals. Act independently to determine methods and procedures on new assignments, making decisions that are implemented by the team. Design and ensure that technology standards are followed and evolve over time. Provide architecture Quality Assurance reviews for proposals and ongoing engagements. Lead the technology solutioning and estimating in proposals, planning and pricing.   Requirements Bachelor's degree in Computer Science, Technology, Computer Information Systems, Computer Applications, Engineering, or a related field, plus 6 years of experience (of which 5 years must be progressive post-baccalaureate) in the IT consulting industry At least 6 years of experience in developing applications using micro-services in the cloud; utilize Selenium to deliver Test Automation; utilizing Agile Delivery Method; assessing and providing recommendations At least 3 years of experience working with remote delivery teams; and, coordinating with Product Owners to understand business requirements, develop technical designs, and review deliverables. Must have at least two of the following certifications: AWS Solutions Architect; Certified Scrum Master; Travelling requirement: 20% of the time.   ","LIBERTY INSURANCE PTE LTD
Liberty Insurance Singapore is a 100% owned strategic business unit of Liberty Mutual Insurance Group.
Liberty Mutual’s purpose is to help people embrace today and confidently pursue tomorrow.  Keeping this promise means we are there when our policyholders throughout the world need us most.
In business since 1912, and headquartered in Boston, Mass., today we are a leading global insurer with operations in 30 countries and economies around the world.  We are the third largest property and casualty insurer in the U.S. based on 2017 direct written premium data as reported by the National Association of Insurance Commissioners.  We also rank 68th on the Fortune 100 list of largest corporations in the U.S. based on 2017 revenue.  As of December 31, 2017, we had $39.4 billion in annual consolidated revenue.
We employ more than 50,000 people in over 800 offices throughout the world.  We offer a wide range of insurance products and services, including personal automobile, homeowners, commercial multi-peril, property, general liability, commercial automobile, surety, workers compensation, specialty lines, and reinsurance.
You can learn more about us by visiting www.libertymutualinsurance.com","LIBERTY HOUSE, 51 CLUB STREET 069428",Manager,Full Time,Information Technology,2 applications,Posted 14 Jan 2019,Closing on 13 Feb 2019,Monthly,"$5,000-$8,000"
6,Admission Officer,INVICTUS INTERNATIONAL SCHOOL PTE. LTD.,"Roles & ResponsibilitiesUnder the direction of the school administrator, the Admissions Officer is responsible for interacting on the School’s behalf with the general public to facilitate student admission to the School. The duties include, but are not limited to:   Admissions:   Explaining admission procedures and courses offered to prospective students and their parents through the School’s on-line application system, phone calls, emails, and meetings.   Delivering engaging and informative tours to prospective families in a group setting.   Supporting families throughout the admission process by answering queries and helping them complete the required documents.   With the assistance of school leadership, reviewing student applications for admission eligibility.   Maintaining regular communication with students, parents, colleagues and external agencies for coordinating admission activities and resolving problems.   Maintaining the School’s target metrics by converting prospective students into confirmed admission and succeed in achieving the School’s performance goals.   Maintain and manage the school’s data management system by keeping all applications current and valid.     Preparing and presenting admissions reports to the School’s management.   Marketing & Project Management   Managing the school’s social media accounts by generating ideas, creating written content and photos, and overseeing audience response.   Participating in educational events, international school fairs, information sessions and recruitment activities as a representative of the School.   Collaborating with associated program coordinators to organize presentations, information sessions, and recruitment related activities.   Managing special projects as needed, which may include: sourcing new collaborations, creating collateral material for the school, and supporting business development.  RequirementsThe suitable candidate will:   Be able to work well in a school environment; relevant, prior school’s experience will be given preference.   Have excellent written communication skills, and the ability to connect quickly with prospective families via email, flyers, social media and other written material.   Bring experience in public speaking, and an ease with presenting to groups up to 200 people.   Enjoy interacting with children and families and have a keen interest in working with an international population. This is a public-facing role.   Be a driven and energetic individual who thrives in a team environment.   Be proficient in MS office suite, comfortable with data management systems, and familiar with sales tools such as HubSpot.   Hold a university degree in any discipline; however, those without a degree but with relevant experience and expertise may also apply.  ","INVICTUS INTERNATIONAL SCHOOL PTE. LTD.
Invictus International School is a forward-looking international school created by successful entrepreneurs. We firmly believe that quality education is simple; a great teacher in a classroom, with the resources to deliver highly engaging lessons to a sensible number of students.",73 LOEWEN ROAD 248843,Middle Management,Permanent,"Admin / Secretarial, Advertising / Media , Social Services, Education and Training",53 applications,Posted 14 Jan 2019,Closing on 13 Feb 2019,Monthly,"$4,500-$5,000"
7,"Executive, Training",NATIONAL HEART CENTRE OF SINGAPORE PTE LTD,"Roles & ResponsibilitiesYou will assist in learning needs analysis and be involved in the collation and implementation of staff learning plans. You will source and recommend suitable training platforms, providers and training programmes to meet staff learning needs. You will analyse training statistics and provide inputs for training policy reviews and management reports. In addition, you will help to oversee day-to-day operations such as external funding claims, training records maintenance, training data collation and other administrative matters. You will also have opportunities to participate in corporate projects and help organise staff events.Requirements· Degree with preferably a postgraduate qualification in Human Resource Development · At least 1-2 years’ relevant working experience in training/HRD.  · Experience in SAP HR system would be an advantage · Proficient in Microsoft Office applications · Resourceful, meticulous and a good team player with excellent interpersonal communication and organisational skills  ",NATIONAL HEART CENTRE OF SINGAPORE PTE LTD,31 THIRD HOSPITAL AVENUE 168753,Executive,"Permanent, Full Time",Human Resources ,19 applications,Posted 14 Jan 2019,Closing on 13 Feb 2019,,Salary undisclosed
8,Research Fellow,NANYANG TECHNOLOGICAL UNIVERSITY,"Roles & ResponsibilitiesJob Responsibilities:  The Centre for Molecular Neuropathology is a new core laboratory being set up at LKCMedicine in the Clinical Sciences Building on the Novena Campus. The Centre will operate alongside the newly created Singapore Brain Bank facility. The aims of the new Centre are to develop a unique expertise in using human brain tissues for cellular and molecular analysis of pathogenetic mechanisms in the neurodegenerative disorders, in particular Parkinson’s disease, Alzheimer’s disease, motoneuron disease and multiple sclerosis. The individual hired will join this exciting new academic opportunity that will involve a number of teams whose research focuses on the mechanisms involved in human neurodegenerative and neuroinflammatory disorders. The successful candidate will play a primary role in setting up the techniques required to study the molecular pathways involved in neuronal cell death using optimally prepared human post-mortem brain tissues. In addition to carrying out research on the pathogenetic mechanisms underlying neurodegeneration, under the direction of the Centre Director, they will also be expected to help train other researchers in the use of human tissues for cellular and molecular analyses. Specific responsibilities include, but are not limited to, the activities listed below: Research Duties   Maintaining a collection of high quality post-mortem human tissues and preparing tissue sections, RNA and protein preparations; Characterisation of human brain sections using histology, immunohistochemistry and multi-label immunofluorescence; Quantitation of immunohistochemical results using image analysis and development of image analysis protocols; Western blotting and electrochemiluminescence assays to analyse protein expression; Gene expression analysis using PCR and transcriptomics technology; Subcellular fractionation and biochemical analyses; Conventional, fluorescence and confocal microscopy. Digital image analysis.    Administrative Duties   Manage the day to day running of the research project; Assist with the supervision of BSc, MSc and PhD students; Documentation and analysis of experimental data; Participation in local laboratory meetings; Ensuring good laboratory practice is in place; Assist with preparation of grant reports and scientific publications; To collaborate with other allied scientists within LKCMedicine, NTU, NNI and Imperial College London as appropriate.    Other Duties   To comply with relevant College policies, including Financial Regulations, Equal Opportunities Policy, Promoting Race Equality Policy, Health and Safety Policy, Information Systems Security Policy and Intellectual Property Rights and Register of Interests Policies; To undertake any necessary training and/or development; Any other duties commensurate with the grade of the post as directed by line manager / supervisor; RequirementsJob Requirements:   PhD in Neuroscience or a closely related discipline; Experience of working with tissue sections; Basic knowledge of neurodegenerative diseases and their pathology; Experience of molecular biology, in particular real time PCR; Experience in protein analysis by Western blot and ELISA; Computer literate with a good knowledge of different computer programs with experience in data presentation and statistical analyses; Experience with the use of image analysis software would be advantageous;  Skills and Abilities:  Ability to conduct a detailed review of recent literature; Ability to develop and apply new concepts; Creative approach to problem-solving; Excellent verbal communication skills and the ability to deal with a wide range of people; Ability to direct the work of a small research team and motivate others to produce a high standard of work; Ability to organise own work with minimal supervision; Ability to prioritise own work in response to deadlines;    Personal Attributes  Willingness to work as part of a team and to be open-minded and cooperative; Flexible attitude towards work; Discipline and regard for confidentiality and security at all times; Willingness to undertake any necessary training for the role; ","World's Top Young University
A research-intensive public university, Nanyang Technological University, Singapore (NTU Singapore) has 33,000 undergraduate and postgraduate students in the colleges of Engineering, Business, Science, and Humanities, Arts and Social Sciences, and its Interdisciplinary Graduate School. NTU’s Lee Kong Chian School of Medicine was established jointly with Imperial College London.
Meteoric rise in international academic reputation ?
In 2018, NTU was placed 12th globally in the Quacquarelli Symonds (QS) World University Rankings. It was also ranked the world’s best young university (under 50 years old) by QS for the fifth consecutive year. In addition, NTU was named the world’s fastest rising young university by Times Higher Education in 2015.
In engineering and technology, NTU is ranked 5th worldwide in the QS World University Rankings by Subject 2018. With six schools, NTU’s College of Engineering is among the top nine globally for research output and the 5th most cited in the world (Essential Science Indicators 2017). ?
Mirroring this success is the College of Science, whose young chemistry department is ranked 10th among universities in the Nature Index 2018. Boosted by research at the Lee Kong Chian School of Medicine, NTU is also strengthening its foothold in areas such as biomedicine and life sciences.
The well-established Nanyang Business School is regularly featured among the leading business schools in Asia, with its MBA programme consistently rated top in Singapore since 2004 by The Economist.
Innovative learning
In higher education, NTU is driving new pedagogies so that millennials can learn more effectively in this digital age. Part of NTU's education strategy is the flipped classroom model of learning. The centrepiece of this new way of learning is The Hive, a groundbreaking learning facility that has been described by CNN as having redefined the traditional classroom. 
Innovative education initiatives also include signature programmes such as Renaissance Engineering Programme, CN Yang Scholars Programme, NTU-University Scholars Programme. Designed for high-achieving students, these programmes offer a multidisciplinary curriculum, guidance by top faculty, interdisciplinary and intensive research opportunities, overseas exposure, as well as dialogues with world-class scientists and industry leaders.?
Set up jointly with Imperial College London, NTU's medical school, is grooming a new generation of doctors to meet the healthcare needs of Singapore.
Research impact
Known for research excellence and technological innovation, NTU leads the top Asian universities in normalised research citation impact (Clarivate Analytics’ InCites 2016). In the 2018 Nature Index, NTU is placed 29th among the world's universities and first in Singapore.
NTU's five-year strategic plan, NTU 2020, builds on strong foundations of NTU 2015 and aims to propel NTU to greater heights of research excellence. The plan focuses on five key research thrusts – Sustainable Earth, Global Asia, Secure Community, Healthy Society and Future Learning. The areas leverage NTU’s diverse strengths, particularly its longstanding expertise in engineering, business and education, and the interfaces these have with various disciplines such as in healthcare, science and the humanities. NTU’s sustainability initiatives have clinched significant competitive research funding and the university is already a global leader in this area.","NANYANG TECHNOLOGICAL UNIVERSITY, 50 NANYANG AVENUE 639798",Manager,"Contract, Full Time",Sciences / Laboratory / R&D,2 applications,Posted 14 Jan 2019,Closing on 29 Jan 2019,Monthly,"$4,000-$8,000"
9,Site Clerk,ZHENG KENG ENGINEERING & CONSTRUCTION PTE LTD,"Roles & Responsibilities Handles site administration works e.g. raise Purchase Requisitions, ISO filing, filing of Delivery Orders, data entry, manage all site office equipment, carry out simple IT setups, prepare minutes of meeting/progress reports/daily reports. May also be required to help out in tender preparations e.g preparing of forms, organisation charts etc.  Assist Project Manager in all other administration functions as may be required. Liaise with Head Office regularly on site staff and workers' attendance, leave forms, overtime claims, petty cash claims etc.     Requirements Minimum 'O' Level Qualifications. Good command of English language. Well versed with ISO requirements.  Good in Microsoft Office, especially Microsoft Word and Powerpoint.  Good organization and multi-tasking skills, good IT skills preferred. Working hours: 8.30-5.30pm (Mondays to Fridays, including alternate Saturdays) Workplace may be islandwide depending on project site location. At least 1 year working experience in project site preferred ","Zheng Keng was first established in 1978 as a plumbing and sanitary works contractor. We grew with Singapore in the 1980s and was involved in many pioneer projects by HDB to transform Singapore’s housing standards. Over the years, our company also expanded into building and construction, and moved to our current premises at 20 Senoko Crescent in 1997. As a main contractor, our track records span across many institutional, residential and commercial buildings in Singapore. We are also one of the first few pioneer contractors to adopt new construction technologies that are transforming the construction industry in Singapore.",,Middle Management,Full Time,Admin / Secretarial,16 applications,Posted 14 Jan 2019,Closing on 13 Feb 2019,Monthly,"$2,200-$2,400"
