,title,company,description,company_overview,location,role,hours,industry,applications,posted,closing,salary_type,salary
0,Research Fellow,NATIONAL UNIVERSITY OF SINGAPORE,"Roles & ResponsibilitiesWe are seeking a motivated Research Fellow to join the Department of Civil and Environmental Engineering at the National University of Singapore. The candidate should have good experience in microbiology, molecular techniques, next generation sequencing and bioinformatics. Experience in research work related to algal blooms, antibiotic resistance and/or pathogens is preferable. The work involves planning field experiments, designing and implementing lab experiments, sample processing and data analysis. The candidate will also help to oversee safety matters in the laboratory, write reports and prepare proposals. The candidate will be expected to publish in top journals, provide accurate and clear documentation of the progress of the work in communication and writing, as well as work together cohesively with other members of the team.RequirementsA PhD in environmental engineering or related fields (e.g. microbiology, algal blooms) is required, ideally with research experience in microbiology and environmental science/engineering. Strong publication record is preferred.","The National University of Singapore aspires to be a vital community of academics, researchers, staff, students and alumni working together in a spirit of innovation and enterprise for a better world.
  Our singular focus on talent will be the cornerstone of a truly great university that is dedicated to quality education, influential research and visionary enterprise, in service of country and society.",21 LOWER KENT RIDGE ROAD 119077,Non-executive,"Contract, Full Time","Engineering, Sciences / Laboratory / R&D",1 application,Posted 17 Jan 2019,Closing on 01 Feb 2019,Monthly,"$4,000-$4,600"
1,"Executive / Senior Executive, Regional Market Development & Market Intelligence, Recruitment Group",SINGAPORE INSTITUTE OF MANAGEMENT PTE. LTD.,"Roles & ResponsibilitiesMarket Intelligence   Research and Analysis Report Generation from Internal Business Analytics Annual projects by Management’s request on various requirements Liaison with internal and external stakeholders according to timeline, budget, internal processes Content Development for various RR requirements MI Tool Development Maintain maximum levels of competitor awareness, product knowledge, and market intelligence Provide regional insight into student enrolment reports and market demand    Student Recruitment and Market Development   Lead and drive number and revenue targets across all lines of business Develop a comprehensive recruitment and marketing plan which includes participation in recruitment activities such as exhibitions, seminars, alumni events to meet the set student admission targets Maintain a data-driven approach to recruitment, monitoring application and admission trends Achieve student admission targets through the established channels of recruitment agents and feeder schools and universities Lead conversion activities including attendance at events and discussions with potential students and their parents and offer education advice and guidance Manage effective launch of new programmes    Marketing   Analyse, recommend and present marketing or advertising opportunities Monitoring the effectiveness of the planned and executed marketing programmes against key performance indicators and providing regular reports on results and progress Establish media contacts to support regional marketing Develop and execute marketing programme with emphasis on lead generation    Financial Management   Managing country budget allocation, prepare reports and forecasts as required Ensure accurate financial reporting requirements are met Manage costs within assigned budget    Administrative   Work with internal departments to ensure smooth admission of student Support the country managers in administrative functions    Others  Other projects and responsibilities as required Requirements Bachelor’s degree, preferably in business analytics, data science and marketing. At least 3 years of working experience Proven skills in Business Analytics, Data Science, Marketing, Sales, Business Development and Partnership management   A good combination of high intelligence, emotional and cultural quotient Familiar with the higher education industry, knowledge of the overseas education market is an added advantage Experienced in Business Analytics, Data Science, Sales Management with evidence of  achieving sales targets Flexibility and ability to deliver tasks/projects within timelines Strong interpersonal skills and team player Strong planning and reporting skills and ability to interpret and analyse data ","The Singapore Institute of Management (SIM) is a leading provider of a diverse range of education pathways and professional training in Singapore. It was founded in 1964 as a not-for-profit management institute, a spin-off of the Economic Development Board. SIM accomplishes its mission of education and lifelong learning through four arms, each catering to a specific market segment of learners.
  SIM Global Education
SIM Global Education (SIM GE) is the leading private educational institution in Singapore. It offers more than 80 academic programmes ranging from its own diploma and graduate diploma courses to Bachelor’s and Master’s programmes with top ranking and reputable universities from United States, United Kingdom, Europe and Australia. Drawing about 20,000 full-time and part-time students and adult learners from over 40 countries, SIM GE adopts a holistic learning approach to equip students with a global edge. Besides building their intellect and skills needed to thrive at the workplace, SIM GE hones the soft skills of students through a wide range of career development and student life activities, amid a culturally diverse campus environment. ",,"Executive, Senior Executive",Full Time,Others,5 applications,Posted 17 Jan 2019,Closing on 16 Feb 2019,Monthly,"$3,000-$6,000"
2,Programme Assistant,Care Community Services Society,"Roles & ResponsibilitiesProgramme Implementation  Assist the Programme coordinator and executive in conducting CareElderly programmes and services. Assist in the coordination and supervision of services and activities for the seniors. Assist in the formation of mutual help groups amongst the seniors residing within service boundaries. Compile a directory of social service agencies in the neighborhood and in the vicinity. Maintain a register of seniors in the identified block.  Alert Alarm System  Assist in the management of the Alert Alarm System.  Programme Evaluation  Assist in the collection and entry of completed data on a quarterly basis. Maintain records to facilitate submission of the quarterly returns and for accountability purposes.  Administrative Duties  Maintain the inventory of office equipment and furniture.  Liaise and correspond with relevant organizations regarding maintenance of premises as well as fire safety equipment. Ensure that users’ records are updated, appropriately filed and kept. Conduct telephone interviews/survey to gather feedback on the SAC’s activities and programmes. Handle any walk-in enquiry or telephone enquiry. Provide clerical and administrative support in areas of faxing, filling and photocopying, etc. Maintain staff’s administrative records, sick leave, annual leave records, claims, etc.  Sort all incoming document and out-going dispatches  Finance and Accounts  Assist in simple bookkeeping.  Volunteer Development  Maintain a register of volunteers. Mobilize and co-ordinate community volunteer efforts. Undertake any other duties as required.  Home Visits  Conduct home care assessments and complete initial assessments of senior and family to determine home care needs. Preparing and maintenance of records and information critical for follow-up actions, and preparing necessary reporting to organization and relevant authorities.  Caregiving Service  Support and comply with beneficiaries’ express wishes according their individualized Lasting Power of Attorney (LPA), Advance Care Plan (ACP) and Advance Medical Directive (AMD) guidelines. Adhere to industry standards of quality control and compliance of procedures in all aspects of caregiving. Ensure the safety and quality aspects of care delivery.  Others  Be part of the team to direct onboarding experience, as well as ongoing essential training of the independent care professionals. Establish links and partnerships with relevant agencies. Support in the preparation of reports and budgeting. Any other tasks as required and assigned. RequirementsRequirements Academic qualification & experience  Minimum GCE ‘O’ Level or relevant qualifications Basic knowledge of Microsoft Work and Microsoft Excel Able to work independently and also with a team  Passion & personality  Individuals who have a passion and desire to work with the elderly, especially lonely elderly from lower-income families  Able to build good rapport with elderly, volunteers and colleagues Self-motivated team player with strong interpersonal and communication skills.    Competencies Planning and design of programmes & activities  Ability to determine learning goals and set the context (pre-determined theme or topic). Creative to generate ideas that are related to the context; ability to be a team player. Ability to select and sequence activities which will engage elderly in healthy living and active learning.  Beneficiaries well-being  Ability to communicate and relate with beneficiaries well. Observant in noticing any abnormal behaviour among the elderly. Caring towards beneficiaries’ well-being.  Note: Only shortlisted applicants will be notified.","Care Community Services Society was founded in 1996 by Trinity Christian Centre. CCSS is a registered charity affiliated with the National Council of Social Service (NCSS). We are an Institution of Public Character (IPC).
At CCSS, we are not content simply to see someone helped; we want to see individuals and families transformed and become empowered people who are then channels of blessing for others in the larger community. Care Community Services Society is called to serve the community and to influence and equip individuals and families for empowered living through all generations.
Sounds ambitious? Perhaps. But it is possible, for we have seen it happen – right here at CCSS!","TRINITY@PAYA LEBAR, PAYA LEBAR ROAD 409045",Non-executive,Contract,Social Services,14 applications,Posted 17 Jan 2019,Closing on 16 Feb 2019,Monthly,"$1,800-$2,300"
3,Senior Customer Incident Manager - Oracle Cloud Infrastructure Team,ORACLE CORPORATION SINGAPORE PTE LTD,"Roles & ResponsibilitiesJob description The Oracle Cloud Infrastructure team is building a new technology organization. This new entity is being constructed with an entrepreneurial spirit that promotes an energetic and creative environment. We are unencumbered and will need your contribution to make it a world class engineering center with the laser focus on excellence. Oracle’s extensive enterprise customer base is looking for rock solid cloud solutions that provide the same reliability and effectiveness that they have come to expect from Oracle. As a trusted Enterprise vendor, Oracle is in the early stages to provide highly cost effective compute, storage, & PaaS Cloud solutions to its customer base. We are specifically looking for a Manager to join the Oracle Cloud Infrastructure group. You will be responsible for managing a team of customer focused Engineers with operations or support experience to build a world-first and best in class customer experience blending customer support, operations and communication disciplines.  The position will be responsible for the day to day activities of the technical staff as well as management of customer issues, questions and assistance as they arise.  Job Responsibilities *Manage a team from a variety of technical backgrounds *Have a data-driven mindset/passion *Work as part of our extended support team in a startup atmosphere, doing whatever it takes to exceed customer expectations. *Focus on operations/incidents & issues. *Document key learnings and other relevant details as part of the support you provide. *Continually improve skills through work experience and training *Coach and mentor personnel to ensure working efficiently and accurately in a team oriented professional culture   RequirementsJob Requirements * Bachelor’s degree, in Computer Science, MIS or related field * 4+ years’ experience managing technical programs * Customer obsession, passion for delighting customers * Strong understanding of cloud concepts and platforms * Experience in cloud communications, operations, NOC or similar is preferred * Proven ability to quickly learn new technical domains and train others * Excellent written communication skills * Maturity, judgment, negotiation/influence skills, analytical skills, and leadership skills","With more than 380,000 customers—including 100 of the Fortune 100—and with deployments across a wide variety of industries in more than 145 countries around the globe, Oracle offers an optimized and fully integrated stack of business hardware and software systems. Oracle engineers hardware and software to work together in the cloud and in your data center–from servers and storage, to database and middleware, through applications.
Oracle systems: - Provide better performance, reliability, security, and flexibility - Lower the cost and complexity of IT implementation and management - Deliver greater productivity, agility, and better business intelligence For customers needing modular solutions, Oracle's open architecture and multiple operating-system options also give customers unmatched benefits from best-of-breed products in every layer of the stack, allowing them to build the best infrastructure for their enterprise.
Visit us at www.oracle.com to learn more about Oracle.","SGX CENTRE I, 2 SHENTON WAY 068804",Professional,Full Time,Information Technology,13 applications,Posted 17 Jan 2019,Closing on 16 Feb 2019,Monthly,"$9,000-$18,000"
4,Customer Incident Engineer - Oracle Cloud Infrastructure Team,ORACLE CORPORATION SINGAPORE PTE LTD,"Roles & ResponsibilitiesDo you like being part of a high-functioning team, learning new things and have a passion for all things cloudy? Do you want to be an integral part of transforming the Internet landscape? If you want to work in a forward thinking environment and experience rocket ship growth and career advancement, this is the perfect fit!  Job description The Oracle Cloud Infrastructure team is building a new technology organization. This new entity is being constructed with an entrepreneurial spirit that promotes an energetic and creative environment. We are unencumbered and will need your contribution to make it a world class engineering center with the laser focus on excellence. Oracle’s extensive enterprise customer base is looking for rock solid cloud solutions that provide the same reliability and effectiveness that they have come to expect from Oracle. As a trusted Enterprise vendor, Oracle is in the early stages to provide highly cost effective compute, storage, & PaaS Cloud solutions to its customer base. We are specifically looking for an Engineer to join the Oracle Cloud Infrastructure group. You will be responsible for assisting customers to troubleshoot and resolve issues they face while using our Cloud services.  You will take an active role in the definition and evolution of standard practices and procedures.  Work is non-routine and very complex, involving the application of advanced technical/business skills in area of specialization.  Job Responsibilities *Have a data-driven mindset/passion *Work as part of our extended support team in a startup atmosphere, doing whatever it takes to exceed customer expectations. *Focus on operations/incidents & issues. *Document key learnings and other relevant details as part of the support you provide. *Continually improve skills through work experience and training   RequirementsJob Requirements * Bachelor’s degree, in Computer Science, MIS or related field * 4+ years’ experience in Infrastructure or related field * Customer obsession, passion for delighting customers * Strong understanding of cloud concepts and platforms * Experience in cloud operations, NOC or similar is preferred * Proven ability to quickly learn new technical domains and train others * Excellent written communication skills * Maturity, judgment, negotiation/influence skills, analytical skills, and leadership skills","With more than 380,000 customers—including 100 of the Fortune 100—and with deployments across a wide variety of industries in more than 145 countries around the globe, Oracle offers an optimized and fully integrated stack of business hardware and software systems. Oracle engineers hardware and software to work together in the cloud and in your data center–from servers and storage, to database and middleware, through applications.
Oracle systems: - Provide better performance, reliability, security, and flexibility - Lower the cost and complexity of IT implementation and management - Deliver greater productivity, agility, and better business intelligence For customers needing modular solutions, Oracle's open architecture and multiple operating-system options also give customers unmatched benefits from best-of-breed products in every layer of the stack, allowing them to build the best infrastructure for their enterprise.
Visit us at www.oracle.com to learn more about Oracle.","SGX CENTRE I, 2 SHENTON WAY 068804",Professional,Full Time,Information Technology,3 applications,Posted 17 Jan 2019,Closing on 16 Feb 2019,Monthly,"$5,000-$10,000"
5,Quality Admin (6-9months contract),WANCO MANPOWER PTE LTD,"Roles & ResponsibilitiesQuality Admin/Office based/6 to 9 months contract/West Area Basic salary SGD1800 – SGD3000 Working hours: 8:30am to 5:30pm, Mon to Fri Location: near Joo Koon MRT - Assist Quality Department in compile Quality Data - Meticulous and organised - Computer Literacy - Other admin duties as assignedRequirements- Admin experience in manufacturing and marine industry would have advantage - Candidates with past admin experience are also welcome - Education level: NITEC or equivalent, Diploma in Engineering is a plus - prefers candidate who are able to start work immediately. Interested candidates please kindly drop me your resume and indicate ""Quality Admin"" at apply@wanco-manpower.com Only shortlisted candidates will be notified.","Established in 2000, Wanco Manpower Pte Ltd is one of the leading recruiting organizations in Singapore, providing comprehensive manpower services for public and private corporations during the past decade. (License No. 00C3011)
Living the passion for recruiting and together with a team of various specialties partners, Wanco has consolidated its leading status and expanded globally in a firm pace.
  Wanco is committed to our customers of both the employer and job seekers in a relentless drive to satisfy their need;","NORTHSTAR @ AMK, 7030 ANG MO KIO AVENUE 5 569880",Non-executive,Contract,Admin / Secretarial,5 applications,Posted 17 Jan 2019,Closing on 16 Feb 2019,Monthly,"$1,800-$3,000"
6,Assistant Executive (Event / Marketing Support),EDC@SCCCI PTE. LTD.,"Roles & ResponsibilitiesResponsibilities  Supporting relevant centre’s activities (events, surveys and data analysis and marketing) Assist in event co-ordination (clinics, exhibition logistics and selected workshops etc) RequirementsRequirements  Diploma holder, preferably with relevant working experience in Event Management Strong analytical, writing and interpersonal skills Proficient in English & Chinese (in order to liaise with the English & Chinese speaking associates) Able to multi-task and work in a fast paced environment ","Established in 2006 and formally known as the Enterprise Development Centre@SCCCI (EDC@SCCCI), SME Centre@SCCCI is a collaboration between SPRING Singapore and Singapore Chinese Chamber of Commerce and Industry (SCCCI). Our mission is to provide holistic general business advisory and capability development services to local Small and Medium Enterprises (SMEs) and aspiring entrepreneurs.
Our new identity as SME Centre@SCCCI, which officially launched on 1 April 2013, signifies a major step forward to provide even more targeted assistance to SMEs. Meeting SME's business needs, engaging, inspiring and helping them to grow and transform, is the driving motto leading our organisation.
At SME Centre@SCCCI, we offer a wide range of value-added services to help SMEs in strengthening their business.
-Broad-based Business Advisory
-Productivity and Capability Development
-Government Incentives and Grant Consultation
-Technology Adoption
-Globalisation","JURONG TOWN HALL, 9 JURONG TOWN HALL ROAD 609431",Non-executive,"Permanent, Full Time","Admin / Secretarial, Advertising / Media , Customer Service, Events / Promotions , General Work",8 applications,Posted 17 Jan 2019,Closing on 16 Feb 2019,Monthly,"$2,000-$3,000"
7,Senior Manager,INTEGRATED HEALTH INFORMATION SYSTEMS PTE. LTD.,"Roles & Responsibilities ·         Oversee the delivery of the critical infrastructure services such as network, security, EUC and data centre services.  ·         Network services is a very critical due to paperless hospital as such the person has to have a strong foundation for network services management and delivery.  ·         Manage multiple projects and is responsible for the execution from initiation to completion.  ·         Determine project goals to ensure the project supports business objectives and strategies.  ·         Develop project plans which include requirements, scope, deliverables, budget and schedules.  ·         Define project tasks and resource requirements and to achieve optimal resource utilisation.  ·         Manage the risks that affect the delivery of the project outcome.  ·         Track project deliverables and ensure projects are completed within budget, schedules and quality standards.  ·         Implement process improvements to reduce development time.  ·         Present reports and project updates to stakeholders on a regular basis.  ·         Manage the risks that affect the delivery of the project outcome.  ·         Track project deliverables and ensure that the projects are completed within budget, schedules and quality standards.  ·         Implement process improvements to reduce development time and assist in the integration of complex business factors to implement long-term strategic planning objectives.  ·         Present reports and project updates to stakeholders on a regular basis.Requirements ·         At least 7 years of hands-on experience in technology infra services delivery in an enterprise organisation.  ·         Strong leadership and interpersonal skills. Able to work with different groups of stakeholders.  ·         Experience in healthcare industry is an added advantage.  ·         CITPM / PMP certification will be preferred.  ·         Degree in Computer Science, Computer Engineering or equivalent","IHiS architects and manages highly integrated systems across Singapore’s public healthcare sector, supporting more than 30,000 healthcare staff at all public hospitals, national specialty centres and polyclinics. It played a key role in five Singapore hospitals becoming among the first public institutions in Asia Pacific to achieve HIMSS EMRAM Stage 6, an international benchmark for advanced technology used in patient care.",6 SERANGOON NORTH AVENUE 5 554910,"Senior Management, Middle Management","Permanent, Contract, Full Time",Information Technology,8 applications,Posted 17 Jan 2019,Closing on 16 Feb 2019,Monthly,"$7,500-$11,000"
8,Recruiter,ADECCO PERSONNEL PTE LTD,"Roles & Responsibilities Work closely with the Technical recruiting team, first partnering with an experience recruiter, sourcing technical cloud talent, and then working towards end-to-end recruitment. Deliver consistent, high quality work in a fast-paced, dynamic work environment by managing time and effort across hiring projects: sourcing strategies, timelines and deliverables for projects, taking initiative to complete unanticipated or ad hoc tasks, and verifying the completeness of your own work. Source and attract top talent and handle special projects, such as creating innovative strategies to locate top APAC talent and assess a high volume of candidate applications on a daily basis. Solve problems and produce solutions by collecting and analyzing data with quantitative or qualitative approaches, identifying alternatives when circumstances change, and seeking out responsibilities beyond the job. Improve the candidate, new hire, hiring manager and recruiter experience. Follow-up with clients to confirm that staffing plans and candidate needs are met. Keep others apprised of and involved in work by communicating information and status to project leads and team members, coordinating work cross-functionally, and influencing peers, project leaders and/or managers Communicate effectively with English speaking clients Requirements BA/BS degree or equivalent practical experience. 2-4 years technical recruiting/staffing/sourcing experience. Excellent communication, teamwork, and client service skills; ability to clearly communicate in discussions and written documents, and to deliver regular updates and feedback clearly and tactfully Ability to speak and write in English and also another language (plus) Experience recruiting/sourcing for cloud technologies, software engineers, technical consultants or other technical roles. Demonstrated ability to develop recommendations and implement solutions to promote ongoing improvements to recruitment efforts based on client needs. Strong sourcing experience, proven ability to find candidates in tough markets for difficult technical positions. Ability to maintain confidence and professionalism when leading others through ambiguous and complex situation. Ability to influence and negotiate diplomatically and fairly with a range of stakeholders. Attention to accuracy of highly detailed information and the ability to solve problems based on due diligence of information. ","The Adecco Group is the world's leading provider of HR solutions. With over 31,000 FTE employees and over 5,200 branches, in over 60 countries and territories around the world, we offer a wide variety of services, connecting more than 650,000 associates with over 100,000 clients every day.
The services we offer fall into the broad categories of temporary staffing, permanent placement, career transition and talent development, as well as outsourcing and consulting. The Adecco Group is based in Zurich-Glattbrugg, Switzerland and we are a Fortune Global 500 company listed on the SIX Swiss Exchange.","SHAW CENTRE, 1 SCOTTS ROAD 228208","Professional, Executive, Senior Executive",Contract,"Consulting , Customer Service, Education and Training, Human Resources , Sales / Retail ",5 applications,Posted 17 Jan 2019,Closing on 16 Feb 2019,Monthly,"$5,500-$7,000"
9,Accounts Associates  /  Accounts Assistant,VG LINK PTE. LTD.,"Roles & ResponsibilitiesAccounting services Support our client on bookkeeping services as follow:  Update accounting records into accounting software; Responsible for the month end closing process and produce monthly and quarterly financial reports for management purposes; Assist the Seniors in the preparation of annual financial statements in accordance with Singapore Financial Reporting Standards at the end of the financial year; Assist Seniors in the preparation of consolidated data; Other related accounting assignments  Taxation services Support our clients on taxation service as follow:  Assist in preparation of Corporate Tax and/or Personal Tax Computation Assist in preparation and filing with IRAS regarding GST Other related tax assignments.  Other services  Responsible for a portfolio of clients and special assignments. Requirements LCCI Higher or Diploma in Accountancy or equivalent At least 1 year relevant experience Proficient in using MS Office Good in writing and problem solving skills Able to multi­task and highly organized Proactive, committed, and able to work under pressure Possess initiative and ability to work independently Good team player and able to communicate well ","Founded in 2014, VG LINK PTE LTD is more than just accountants. We assist to LINK our client up to provide them with one stop solutions for their day to day business, business expansion and other business ventures. 
At VG Link, we strive to provide prompt, reliable and quality services.
We are expanding our team and looking for a dynamic, hardworking and dedicated personnel to join us.","GOLDEN MILE TOWER, 6001 BEACH ROAD 199589","Fresh/entry level, Executive",Full Time,"Accounting / Auditing / Taxation, Admin / Secretarial, Consulting ",2 applications,Posted 17 Jan 2019,Closing on 16 Feb 2019,Monthly,"$1,600-$2,500"
