,title,company,description,company_overview,location,role,hours,industry,applications,posted,closing,salary_type,salary
0,C# Software Engineer,PERCEPT SOLUTIONS PTE. LTD.,"Roles & Responsibilities Participate in requirement gathering sessions and translate business requirements into functional and non functional requirements.  Clarify ambiguous/conflicting requirements and ensure that that changes are documented and tracked.  Perform screen mockup and prototype to confirm requirements; analyze and translate requirements into design using established design standards and tools.  Produce design specifications and artifacts.  Code programs based on best practices and programming guidelines adopted by project.  Develop and perform automated unit testing; prepare test data, capture test result to ensure the quality of the program.  Analyze and identify root cause and ensure fixes are done and tested before rolling out for retest.  Develop training material and support user training; prepare documentation including system and user documentation; keep versioning of documentation.  Participate in peer reviews and daily huddle.  Package and deploy codes into production based on deployment practices defined.  Monitor system to identify exceptions to normal processing and take corrective or preventive actions.  Troubleshoot incidents and provide timely update and escalation when appropriate.  Register and track all reported issues to closure and within SLA.  Analyze and classify change requests and perform impact analysis.  Provide timely handling of user queries and request.  Actively identify areas to improve to ensure system stability and maintainability.  Provide timely handling of user queries and request.  Actively identify areas to improve to ensure system stability and maintainability.  Understand SLA, escalation process and critical monitoring activities required to keep the system in order.  	  RequirementsTechnical qualifications and capabilities include knowledge of one of the following: Language: C# .Net,MS SQL Server T-SQL   ","We are an experienced & innovative management team of technology and business experts headquartered in Singapore. Our management track record of client relationship management, solutions structuring and delivery is unparalleled. How do we achieve these feats? Through a team of  locally available resources with Banking, Manufacturing, Supply Chain, Healthcare and on various other niche products.",6 BATTERY ROAD 049909,Executive,Permanent,Information Technology,3 applications,Posted 08 Jan 2019,Closing on 07 Feb 2019,Monthly,"$5,000-$7,500"
1,Sales Engineer,DIRAK ASIA PTE LTD,"Roles & ResponsibilitiesWe are a German and Singapore JV company specialising in Industrial Hardwares. We are seeking for a New Sales Engineer to scale the next heights. Our industries includes Telecommunication, Data centre, Transportation and Industrial made enclosures.    An attractive remuneration package will be offered to the right candidate according to capabilities, qualification and experience.   Sales Engineer   Responsibilities:  Manage existing customers and develop new customers, look for business opportunities and foster good customer relationship for revenue growth and customer retention. Provide pre-sales assistance and after-sales supports to customers Prepare quotations, check stocks availability, follow up on sales enquiries/proposal from customers Prepare samples according to customer requests, sales visit to understands customer business, maintaining information and project status/activity; weekly basis report as  required by supervisor Facilitate meeting and workshop/training with customers on behalf of Management and Product Marketing as required Support marketing activities in seminars, trade shows, conferences and other marketing events. Research and Knowledge of Mechanical/technical/application base on all products Deliver presentations and hand-on demonstrations of products, applications and technology for the purpose of product sales.     RequirementsRequirement:  Degree/Diploma/ITC in Mechanical Engineering or equivalent qualifications. Minimum 2-3 years’ experience in either industrial electrical/mechanical component sales or with automation industries ; fresh graduate with other working experiences are welcome to apply Fluent in English & Mandarin, both oral and written. Excellent in communication, negotiation and presentation skills Proficient with MS Words, Excel, PowerPoint Knowledge of SAP or ERP, if any preferable but not essential(training will be provided) Customer Driven, patience, persistent and results oriented Disciplined, hardworking and able to perform under pressure Pro-active and must be a good team player Possess Class 2 or 3 License and own a car Local and/or Overseas training will be provided  If you feel that you fits the description, please kindly submit your latest resume in Ms Word format with latest photo /qualification/salary expectation/availability to dirak@dirak.com.sg ; attention to the SALES MANAGER.   Please be advise only shortlisted candidate will be contacted. ","A German and Singapore JV company specialising in Industrial Hardwares is looking for a New Sales Engineer / Senior Sales Engineer to scale the next heights. Our industries includes Telecommunication, Data centre, Transportation and Industrial enclosures.
An attractive remuneration package will be offered to the right candidate according to capabilities, qualification and experience","KB INDUSTRIAL BUILDING, 10 KAKI BUKIT ROAD 1 416175",Junior Executive,Full Time,Sales / Retail ,2 applications,Posted 08 Jan 2019,Closing on 07 Feb 2019,,Salary undisclosed
2,Senior Recruiter,MICROSOFT OPERATIONS PTE LTD,"Roles & ResponsibilitiesOverview:  This is a chance to make a significant impact on the future of Microsoft APAC.   Do you have a passion in attracting and hiring the talent that can change the world? EDo you enjoy big challenges, working with and learning from highly diverse and super passionate Microsoft GTA (Global Talent Acquisition) team?   Come work with us!!   We are seeking a senior recruiter to help us build a scalable recruiting environment while working closely with our business and HR partners to change the future of our company, our culture, our people.    Responsibilities:   Lead recruiting efforts respective to your aligned business groups (predominantly sales, presales, marketing & services) in regional setup  Represent GTA to senior business leaders that includes understanding hiring demands, strategizing the hiring plan, representing the progress and challenges and deliver the outcome through joint efforts Develop efficient sourcing strategy / driving the consumption of pipeline to next level / Identify & Engage potential passive candidates in close partnership w. business representing Microsoft business & cultural transformation  Partner with various stakeholders to drive diversity hiring initiatives and implement inclusive hiring process Participate in and lead special projects/recruiting initiatives orchestrating w. talent sourcing team levergaging best practices to make a difference and deliver the result Build the foundational recruitng culture where recruitng becomes everyone's everyday job, diversity & inclusion is prioritized, also putting candidate experience as utmost value.  Serve as talent adviosor delivering data driven talent insight and recommendation to help business make more informed and timely decision RequirementsQualifications:  Successful Background Includes:  Minimum of 5 years of corporate recruiting experience including sourcing and full life cycle recruiting. Must have experience with a building and utilising a variety of sourcing plans and tools, including proactive phone and internet research. Recognized as a highly consultative, top producing recruiter, seen as an innovator, and proactive with process improvements and bottom line results. ",MICROSOFT OPERATIONS PTE LTD,,Non-executive,Full Time,Information Technology,14 applications,Posted 08 Jan 2019,Closing on 07 Feb 2019,Monthly,"$10,000-$11,000"
3,Senior Executive (Communications and 3P Partnership),Ministry of The Environment and Water Resources,"Roles & ResponsibilitiesYou will be part of the Communication and 3P Partnership Division, which is responsible for the formulation and implementation of communications strategies, the management of MEWR online media channels and the engagement of public/private stakeholders to foster shared ownership of our environment and water resources. You will assist in planning and implementing corporate communications and public education programmes. You will also assist in organising activities to garner support from stakeholders and partners.
Your key responsibilities include:

Developing communications strategies and providing advice on communications positioning to achieve desired outcomes
Doing research and data analysis to understand public perceptions and ground sentiments
Managing media relations, including drafting speeches and press releases, responding to media queries and handling media events
Providing support to political office holders
Engagement of key stakeholders for MEWR-related issues
Management of MEWR online media channels.

 
Requirements:

A degree in a relevant discipline such as mass communications, media studies, social sciences or public relations
Relevant experience in strategic, marketing and social media communications, and stakeholder engagement in the private and public sector  
Excellent proficiency in the English language, both verbal and written
Good knowledge of local media, social media and current affairs
Proficiency in a vernacular language would be a bonus
Good interpersonal and analytical skills
Independent, motivated and able to multi-task in a dynamic environment.
",No information added.,,Executive,Contract,Public / Civil Service,0 application,Posted 08 Jan 2019,Closing on 07 Feb 2019,,Salary undisclosed
4,Assistant Manager (Events and Planning),GOVERNMENT TECHNOLOGY AGENCY,"Roles & ResponsibilitiesAs an Assistant Manager (Events and Planning) in GovTech’s Data Science & Artificial Intelligence Division, you will be responsible for the successful execution of various edifying events and initiatives such as training workshops, seminars, competitions, and meet-up sessions.  You are an organized individual with a great attention to detail that is needed to run an event smoothly. The role requires you to work independently to execute events of a smaller scale, and to collaborate with partners, stakeholders, and events companies to coordinate the agenda and logistics for larger-scale events. What to Expect:   Co-conceptualise with your team to deliver the schedule of Capability Development events Source for good vendors and partners that can help deliver the best experience for the events, while ensuring financial prudence and working within the constraints of government procurement rules Ensure logistics are smooth from the pre-event phase (e.g. bookings and invitations), to the event phase (e.g. time-keeping and F&B), to the post-event phase (e.g. feedback and recommendations) Manage and track the overall Capability Development efforts in the team through the use of spreadsheets and dashboards Assist the division on any other events and logistics matters  How to Succeed:   Degree or Diploma in Marketing, Mass Communications or a related field will be an added advantage Experience with the government procurement process will be an added advantage Experience in development and running of events, from conceptualisation to execution, to the post-event phase Resourceful and has a strong ability to function under pressure Excellent English language skills, both oral and written Comfortable to work independently with minimum supervision ","The Government Technology Agency (GovTech) aims to transform the delivery of Government digital services by taking an ""outside-in"" view, putting citizens and businesses at the heart of everything we do. We also develop the Smart Nation infrastructure and applications, and facilitate collaboration with citizens and businesses to co-develop technologies.","MAPLETREE BUSINESS CITY, 10 PASIR PANJANG ROAD 117438",Middle Management,Full Time,"Events / Promotions , Public / Civil Service",0 application,Posted 08 Jan 2019,Closing on 31 Mar 2019,Monthly,"$5,000-$8,000"
5,"Laboratory Officer (Technical Support), ICES",A*STAR RESEARCH ENTITIES,"Roles & Responsibilities Upkeep and ensure good lab housekeeping for designated laboratories, sufficient supplies of common chemical and laboratory consumables (including procurement) etc. Responsible for coordination and disposal of laboratory waste. Ensure common equipment functionality and its operation within required limits by internal and external preventive maintenance, calibration (metrology) and safety certification. Ensure as the main Safety Coordinator compliance of the staff with general lab-safety rules Conduct laboratory safety training to new staff and students about laboratory rules and operational procedures. Make sure to update the chemical inventory on a regular basis and to keep records properly about training, equipment maintenance, SDS amongst others. Is encouraged to support research experiments and provide analytical input with guidance from researchers Track and maintain laboratory documentation (equipment manuals, equipment standard operating procedures, maintenance records, safety data sheets and inventory record for regulated chemicals) Requirements Have a minimum polytechnic diploma in chemical engineering or equivalent qualification. Candidate without relevant experience are welcome to apply. Team player with initiative, drive and good communication skills. Ability to work independently under minimal supervision Driven and self-motivated Prior work in a laboratory is not a requirement but an added advantage Willing to work in Jurong Island. (Shuttle-buses are available at various locations)  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.",No information added.,"UOB PLAZA, 80 RAFFLES PLACE 048624",Non-executive,"Contract, Full Time",Sciences / Laboratory / R&D,17 applications,Posted 08 Jan 2019,Closing on 07 Feb 2019,Monthly,"$2,000-$4,000"
6,database technology,THE TORONTO-DOMINION BANK,"Roles & ResponsibilitiesThe Technology Response Management team, under ITS Operations, provides escalated 2nd level production technical support for the majority of ITS managed technologies and is accountable for day to day technology support and enhanced availability of TDBFG services. There are 4 teams within Tech Response with specific and focused accountabilities. As a member of the Database Response team, you will be responsible for technical support for the production and non-production environment for all technologies managed by the team. Specific focus will be around the distributed Database Management Systems administrations, primarily distributed DB2, managing availability, data integrity, and security of the production environment. The IT Database Administrator works closely with our ITS peers and the Incident Management team, and will be expected to demonstrate an understanding of all elements to successfully manage, tune, and resolve issues in complex systems within the bank’s distributed server based environment.Requirements Minimum 5 years of DBA working experience building, deploying and administering distributed DB2 and Sybase database management system Sound knowledge of database auditing, audit logging, creating benchmark for audit points. Experience with database security and database encryption Sound knowledge of users access and database privileges Experience with deploying database security patches and remediation of database vulnerabilities. Degree or Diploma in Computer Science or equivalent experience Thorough working knowledge of the different versions of DB2 (8 & 9) on UNIX or Linux operating systems Thorough working knowledge of the different versions of Sybase ASE (12.5 & 15) on UNIX or Linux operating systems Experience applying DB2 and Sybase maintenance fix packs Experience with diagnosing and tuning performance issues as they relate to DB2 and Sybase Minimum 5 years of DBA working experience building, deploying and administering distributed DB2 and Sybase database management system Sound knowledge of database auditing, audit logging, creating benchmark for audit points. Experience with database security and database encryption Sound knowledge of users access and database privileges Experience with deploying database security patches and remediation of database vulnerabilities. Degree or Diploma in Computer Science or equivalent experience Thorough working knowledge of the different versions of DB2 (8 & 9) on UNIX or Linux operating systems Thorough working knowledge of the different versions of Sybase ASE (12.5 & 15) on UNIX or Linux operating systems Experience applying DB2 and Sybase maintenance fix packs Experience with diagnosing and tuning performance issues as they relate to DB2 and Sybase ",No information added.,"MILLENIA TOWER, 1 TEMASEK AVENUE 039192",Professional,Permanent,Information Technology,4 applications,Posted 08 Jan 2019,Closing on 07 Feb 2019,Annually,"$70,000-$90,000"
7,Vision Engineer,AEM SINGAPORE PTE. LTD.,"Roles & ResponsibilitiesAEM is planning to invest in the smart automation business, notably integrated vision solutions.  Vision is of key importance in Industry 4.0 and beyond. Think of autonomous vehicles and 5G manufacturing, and you get an idea of how important vision systems will be in the future. Our technical team needs to develop applications solutions for customers and often to integrate these with other aspects of automation. The candidate is expected to expose to Artificial Intelligence, data analytics, optimization. There will be opportunities for the individual to acquire new knowledge in and through the Organization. The candidate must be self-starters, easily bored with the routine, always eager to try new things, not easily demoralized by setbacks, a team player yet with leadership potential.    Requirements Bachelor Degree in Mechanical Engineering or related technical disciplines Minimum 2 years' working experiences in equipment design for semiconductor Strong fundamentals in mechanical, physics, optics and C programming knowledge Very strong motivation in finding new solutions to new problems Self motivated individual who is action/results oriented, independent, flexible, with a passion for developing technical excellence products Must be prepared to get hands-on during development cycle Excellent communication skills, with cross-cultural awareness and understanding ","AEM SINGAPORE PTE. LTD specializes in providing customized systems solutions to both mass volume manufacturers as well as new technology development laboratories. We are partners for our customers in product relization from concept to prototype and eventually to solution proliferation in high volume mass production. Our equipment solutions involve integrating Precise High Speed Motion, Innovation Mechanica Design, Advanced PLC (Programmable Logic Control), Sophisticated GUI and Reliable SECS/GEM compliance communication protocol. Our systems are deployed globally at world class Semiconductor and Solar manufacturng facilities.
 ",52 SERANGOON NORTH AVENUE 4 555853,Executive,Full Time,Engineering,2 applications,Posted 08 Jan 2019,Closing on 07 Feb 2019,Monthly,"$2,500-$5,000"
8,Environmental Engineer,CH2M HILL SINGAPORE PRIVATE LIMITED,"Roles & Responsibilities Supporting Project Manager on planning, managing and delivery high quality environmental projects such as environmental impact assessment (EIA), pollution control study (PCS), Environmental Monitoring and Management Plan (EMMP), due diligence. Perform site visit, field observations and data collection assignments, and supervise subcontractors. Prepare technical report and presentations for the projects undertaken. Liaise with clients and authorities on technical matters. Support business development, and proposal or tender preparation. Requirements Good technical, data analysis, writing and verbal communication skills, and computer competency. Able to work well independently, in a team and multi-cultural environment. Capable of working in a fast-paced environment and production of high-quality project deliverables. Site visit, field observations and field data collection experience will be added advantage Environmental, health or safety (EHS) audit experience in Singapore and/or South East Asia will be added advantage. Air, noise and/or hydrological modelling experience will be added advantage. BSc/MSc/BTech/MTech degree in Environment, or related engineering/science discipline Minimum 2 years of environmental engineering / science experience in environmental consulting. ","For decades, CH2M HILL has been a global leader in engineering, consulting, design, program management, construction and operations, working on the most challenging and impactful projects around the world. Through these challenging projects, we develop our people — who transform complex and creative ideas into reality, every day. Join us and together we can work to build a sustainable world. We support you to reach your greatest career goals through continued professional development, a positive work life balance and undeniably cool engineering projects.","GATEWAY WEST, 150 BEACH ROAD 189720",Junior Executive,Full Time,Engineering,14 applications,Posted 08 Jan 2019,Closing on 07 Feb 2019,Monthly,"$3,800-$5,000"
9,Temp Admin  /  Customer Service - up to $11.50 / hr,APBA PTE. LTD.,"Roles & Responsibilities Working Location: Tanjong Pagar / Bishan / Tampines / Jurong / Woodlands / Novena   Hourly Rate: $8.50 - $11.50 Per Hour (depending on prior work experience and academic qualification) Work Duration: 2 – 6 Months   Responsibilities  Provide Personalised Service to manage enquiries on schemes and services over at the counter. Process applications and Collate survey responses Perform basic administrative duties such as data entry and filing Perform ad-hoc duties as directed by immediate superior Requirements GCE ‘A’ Level / Diploma / Degree Proficient in English and a second language so as to converse effectively with different groups of customers Excellent team player who is task-orientated Shows initiative and possess a positive attitude Possess Good Customer Service Skills Proficient in Microsoft Office Words and Excel  Interested candidates, please forward a copy of your resume with a recent photo in word doc format to:   Vivien.khaw@apba-network.com   We regret to inform that only shortlisted candidates will be notified ","About APBA
APBA Pte Ltd is a regional human resource consultancy services company with direct investments in human resource solution companies in Asia-Pacific.  Our aim is to help our clientele of employers become more successful by providing them with a comprehensive range of innovative human capital solutions.  APBA's strong regional presence and in-depth local expertise have proven to deliver results notably in Recruitment Process Outsourcing (Executive Search, Permanent Placement, Flexible Staffing), Business Process Outsourcing, Payroll Process Outsourcing, and HR Advisory.
APBA has also form strategic alliances with local human resource companies in Indonesia, the Philippines, South Korea and Vietnam.  Our strong regional footprint and extensive network has established us as one of the fastest growing human resource consultanct services companies in the region.  We pride ourselves in hiring the top talents from the various industries to provide the level of quality and service in our business.
Awards Received
Best New Recruitment Agency, Human Resources Asia Recruitment Awards 2016 (Gold Award Winner)
Best Recruitment Process Outsourcing Partner, HR Vendors of the Year 2015 (Silver Award Winner)
 ","SINGAPORE LAND TOWER, 50 RAFFLES PLACE 048623","Fresh/entry level, Non-executive, Junior Executive","Temporary, Contract","Admin / Secretarial, Customer Service",7 applications,Posted 08 Jan 2019,Closing on 07 Feb 2019,Monthly,"$1,500-$2,000"
